Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59227936,"Belladonna (Belladonna, #1)",Adalyn  Grace,"Grace, Adalyn",,0316158232,9780316158237,0,3.99,"Little, Brown and Company",Hardcover,409,2022,2022,,26/10/2024,currently-reading,currently-reading (#1),currently-reading,,,,1,0
11289,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,0553572989,9780553572988,5,4.17,Spectra,Mass Market Paperback,709,1998,1997,26/10/2024,29/07/2024,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith",0618391118,9780618391110,4,4.02,Houghton Mifflin Company,Hardcover,386,2004,1977,,08/07/2018,,,read,,,,2,0
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,0380800829,9780380800827,0,3.79,Avon Books,Mass Market Paperback,384,2006,2000,,26/10/2024,to-read,to-read (#132),to-read,,,,0,0
278040,A Stitch in Time,Andrew Jordt Robinson,"Robinson, Andrew Jordt",,0671038850,9780671038854,4,4.37,Pocket Books,Mass Market Paperback,396,2000,2000,,29/04/2024,,,read,,,,1,0
77565,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"Simmons, Dan",,0553288202,9780553288209,4,4.23,Spectra,Mass Market Paperback,517,1995,1990,18/09/2024,29/07/2024,,,read,,,,1,0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,"Simmons, Dan",Gary Ruddell,0553572946,9780553572940,5,4.19,Bantam Spectra,Mass Market Paperback,563,1996,1996,,29/07/2024,,,read,,,,1,0
41051439,Three Body Problem Collection,Liu Cixin,"Cixin, Liu",,9123655399,9789123655397,0,4.68,Head of Zeus,Paperback,,2021,,,13/09/2024,to-read,to-read (#131),to-read,,,,0,0
35606041,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,031618716X,9780316187169,0,4.45,Orbit,Hardcover,480,2019,2019,,21/08/2024,to-read,to-read (#130),to-read,,,,0,0
59986018,"The Book of Azrael (Gods and Monsters, #1)",Amber V. Nicole,"Nicole, Amber V.",,,,0,4.13,Rose and Star Publishing,Kindle Edition,572,2022,2022,,29/07/2024,to-read,to-read (#129),to-read,,,,0,0
21416690,"The Invisible Library (The Invisible Library, #1)",Genevieve Cogman,"Cogman, Genevieve",,1447256239,9781447256236,0,3.74,Tor UK,Paperback,329,2015,2014,,29/07/2024,to-read,to-read (#128),to-read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,1649374046,9781649374042,0,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,,29/07/2024,to-read,to-read (#127),to-read,,,,0,0
50336781,"Flames of Chaos (Legacy of the Nine Realms, #1)",Amelia Hutchins,"Hutchins, Amelia",,,,0,3.76,Amazon Digital Services,ebook,563,2020,2020,,29/07/2024,to-read,to-read (#126),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,1635575567,9781635575569,0,4.18,Bloomsbury Publishing,Paperback,419,2020,2015,,29/07/2024,to-read,to-read (#125),to-read,,,,0,0
